Item Name,Category,Sub Category,Online_purchase,Instore_purchase,Central,East,North,South,West,Total Sales
Ba56200ns,Bakery,Breads & Buns,0,1,,1461,,,,1461
Ba85074es,Bakery,Cakes,1,0,,2031,,,,2031
Be70336ks,Beverages,Soft Drinks,1,0,,,,,722,722
Fo24025ce,Food Grains,Rice,0,1,,1319,,2067,,3386
Oi22750ee,Oil & Masala,Edible Oil & Ghee,1,0,1152,,,,,1152
Oi34698as,Oil & Masala,Masalas,1,0,,1076,,,,1076
Sn50739es,Snacks,Cookies,0,1,,,,1533,1130,2663
Sn19187es,Snacks,Noodles,0,1,,,,1301,,1301
Ba13429es,Bakery,Cakes,1,0,,,,,3379,3379
be54520ks,beverage,Health Drinks,0,1,907,,,,,907
Be25840ks,Beverages,Soft Drinks,0,1,2302,,,,,2302
Eg86532en,"Eggs, Meat, Fish",Chicken,1,0,,,,,664,664
Fo29161ur,Food Grains,Atta & Flour,0,1,1697,2428,,,,4125
Fr33665es,Fruits & Veggies,Organic Vegetables,0,1,,,,1274,,1274
Oi76374ee,Oil & Masala,Edible Oil & Ghee,0,1,,,,,1924,1924
Oi73792as,Oil & Masala,Masalas,1,0,,1451,,,,1451
Be87687ks,Beverages,Soft Drinks,1,0,1081,,,,,1081
Fo23379ur,Food Grains,Atta & Flour,1,0,1368,,,,,1368
Fo67236ce,Food Grains,Rice,1,0,1293,,,,,1293
Fr92262es,Fruits & Veggies,Fresh Vegetables,0,1,1952,,,,,1952
Fr57025ts,Fruits & Veggies,Organic Fruits,0,1,2451,,,,,2451
Ba71402ts,Bakery,Biscuits,0,1,,,,,698,698
Ba77355ns,Bakery,Breads & Buns,0,1,,,,1013,2705,3718
ba4534es,bakery,Cakes,1,0,,,,,1863,1863
Be1231ks,Beverages,Health Drinks,0,1,,3072,,,,3072
Be88008ks,Beverages,Soft Drinks,1,0,3949,,,,,3949
Eg62873en,"Eggs, Meat & Fish",Chicken,0,1,,1923,,,,1923
Fo33978ur,Food Grains,Atta & Flour,1,0,,,,,2387,2387
Fr254ts,Fruits & Veggies,Fresh Fruits,0,1,1028,,,,,1028
Fr62384es,Fruits & Veggies,Fresh Vegetables,1,0,,1381,,,,1381
Fr98447ts,Fruits & Veggies,Organic Fruits,0,1,,,,1061,,1061
Oi61447as,Oil & Masala,Masalas,0,1,,,,,1113,1113
Sn65986es,Snacks,Cookies,1,0,,1876,,,,1876
Ba25851ts,Bakery,Biscuits,0,1,,1799,,,,1799
Be56904ks,Beverages,Health Drinks,0,1,,1073,,,582,1655
Be34329ks,Beverages,Soft Drinks,0,1,1583,,,,,1583
Eg51776on,"Eggs, Meat & Fish",Mutton,1,0,,,,,1677,1677
Fr44076es,Fruits & Veggies,Fresh Vegetables,0,1,,2050,,,,2050
Oi61269ee,Oil & Masala,Edible Oil & Ghee,0,1,,1483,,,,1483
Ba20215es,Bakery,Cakes,0,1,,,,,2259,2259
Be87983ks,Beverages,Health Drinks,0,1,,2483,,,1617,4100
be558ks,beverage,Soft Drinks,0,1,989,,,,2390,3379
Eg19842on,"Eggs, Meat & Fish",Mutton,1,0,,3550,,,,3550
Fo21829ur,Food Grains,Atta & Flour,1,0,771,,,,,771
Oi79113ee,Oil & Masala,Edible Oil & Ghee,1,0,,,,,2122,2122
Oi94497as,Oil & Masala,Masalas,1,0,,806,,,530,1336
Oi10096es,Oil & Masala,Spices,1,0,,775,,,,775
Sn99010es,Snacks,Chocolates,1,0,,,,1273,,1273
Sn3908es,Snacks,Cookies,1,0,,,,,2424,2424
Ba21822ts,Bakery,Biscuits,1,0,1224,,,,,1224
Be96303ks,Beverages,Soft Drinks,0,1,,,,,2045,2045
Eg69254sh,"Eggs, Meat & Fish",Fish,1,0,,,,4093,2282,6375
Eg59527on,"Eggs, Meat, Fish",Mutton,1,0,1684,1048,,,,2732
Fo47139es,Food Grains,Dals & Pulses,1,0,,1797,,,,1797
Fo68046ce,Food Grains,Rice,1,0,,,,,1424,1424
Fr45855es,Fruits & Veggies,Fresh Vegetables,0,1,,2985,,,,2985
Fr47733ts,Fruits & Veggies,Organic Fruits,1,0,,,,,2455,2455
Fr97829es,Fruits & Veggies,Organic Vegetables,1,0,2230,,,,,2230
Oi74193ee,Oil & Masala,Edible Oil & Ghee,0,1,,1001,,,1059,2060
Sn11473es,Snacks,Chocolates,1,0,2216,,,,,2216
Ba30362ts,Bakery,Biscuits,1,0,,,,,997,997
Be39616ks,Beverages,Health Drinks,0,1,,1694,,,785,2479
Be46731ks,Beverages,Soft Drinks,0,1,2364,1213,,,1669,5246
Eg65034sh,"Eggs, Meat & Fish",Fish,1,0,,,,,1640,1640
Fo50679es,Food Grains,Dals & Pulses,1,0,2174,,,,,2174
Fo12373ce,Food Grains,Rice,1,0,,,,,1680,1680
Fr82537ts,Fruits & Veggies,Fresh Fruits,1,0,1953,,,,,1953
Ba85298ts,Bakery,Biscuits,1,0,,2107,,,,2107
Ba94788ns,Bakery,Breads & Buns,1,0,856,,,,,856
Be8014ks,Beverages,Health Drinks,0,1,541,,,,,541
Eg89139gs,"Eggs, Meat & Fish",Eggs,0,1,,,,,1637,1637
Eg96487sh,"Eggs, Meat & Fish",Fish,1,0,,,,775,,775
Fo19318ce,Food Grains,Rice,1,0,,,,,1249,1249
Fr32384es,Fruits & Veggies,Fresh Vegetables,1,0,,,,575,2934,3509
Fr85246es,Fruits & Veggies,Organic Vegetables,1,0,912,,,,,912
ba93081ts,bakery,Biscuits,0,1,,,,,2378,2378
Ba75920es,Bakery,Cakes,0,1,,2436,,,,2436
Be76885ks,Beverages,Health Drinks,0,1,1949,,,,,1949
Be55413ks,Beverages,Soft Drinks,1,0,,,,,1377,1377
Eg91150gs,"Eggs, Meat & Fish",Eggs,1,0,,1396,,,,1396
Fo29392es,Food Grains,Dals & Pulses,0,1,,,,,846,846
Fr95451ts,Fruits & Veggies,Fresh Fruits,0,1,,2450,,,,2450
Fr11592es,Fruits & Veggies,Organic Vegetables,0,1,,,,,603,603
Oi25076ee,Oil & Masala,Edible Oil & Ghee,0,1,,1153,,,744,1897
Oi30220as,Oil & Masala,Masalas,0,1,,,,,1949,1949
Oi76826es,Oil & Masala,Spices,1,0,,2115,,,,2115
Ba13223ts,Bakery,Biscuits,1,0,1512,,,,,1512
Ba12883es,Bakery,Cakes,1,0,,1268,,,,1268
Be73411ks,Beverages,Health Drinks,1,0,,,,1391,,1391
Eg83086en,"Eggs, Meat & Fish",Chicken,1,0,2454,,,,,2454
Fo21573ur,Food Grains,Atta & Flour,0,1,,1090,,,,1090
Fo33977es,Food Grains,Dals & Pulses,1,0,,,,,1414,1414
Fr41649es,Fruits & Veggies,Organic Vegetables,0,1,,,,,1602,1602
Oi83477ee,Oil & Masala,Edible Oil & Ghee,0,1,2279,,,,,2279
Oi6809as,Oil & Masala,Masalas,0,1,,,,,680,680
Be81956ks,Beverages,Health Drinks,1,0,624,,,,,624
Eg88085on,"Eggs, Meat & Fish",Mutton,1,0,,,,983,,983
Fo30455ur,Food Grains,Atta & Flour,1,0,,,,1585,,1585
Fo94573es,Food Grains,Dals & Pulses,0,1,,,,,664,664
