"","item_name","category","sub_category","Channel","central","east","north","south","west","total_sales"
"1","Ba56200ns","Bakery","Breads & Buns","Instore",0,1461,0,0,0,1461
"2","Ba85074es","Bakery","Cakes","Online",0,2031,0,0,0,2031
"3","Be70336ks","Beverages","Soft Drinks","Online",0,0,0,0,722,722
"4","Fo24025ce","Food Grains","Rice","Instore",0,1319,0,2067,0,3386
"5","Oi22750ee","Oil & Masala","Edible Oil & Ghee","Online",1152,0,0,0,0,1152
"6","Oi34698as","Oil & Masala","Masalas","Online",0,1076,0,0,0,1076
"7","Sn50739es","Snacks","Cookies","Instore",0,0,0,1533,1130,2663
"8","Sn19187es","Snacks","Noodles","Instore",0,0,0,1301,0,1301
"9","Ba13429es","Bakery","Cakes","Online",0,0,0,0,3379,3379
"10","be54520ks","Beverages","Health Drinks","Instore",907,0,0,0,0,907
"11","Be25840ks","Beverages","Soft Drinks","Instore",2302,0,0,0,0,2302
"12","Eg86532en","Eggs, Meat & Fish","Chicken","Online",0,0,0,0,664,664
"13","Fo29161ur","Food Grains","Atta & Flour","Instore",1697,2428,0,0,0,4125
"14","Fr33665es","Fruits & Veggies","Organic Vegetables","Instore",0,0,0,1274,0,1274
"15","Oi76374ee","Oil & Masala","Edible Oil & Ghee","Instore",0,0,0,0,1924,1924
"16","Oi73792as","Oil & Masala","Masalas","Online",0,1451,0,0,0,1451
"17","Be87687ks","Beverages","Soft Drinks","Online",1081,0,0,0,0,1081
"18","Fo23379ur","Food Grains","Atta & Flour","Online",1368,0,0,0,0,1368
"19","Fo67236ce","Food Grains","Rice","Online",1293,0,0,0,0,1293
"20","Fr92262es","Fruits & Veggies","Fresh Vegetables","Instore",1952,0,0,0,0,1952
"21","Fr57025ts","Fruits & Veggies","Organic Fruits","Instore",2451,0,0,0,0,2451
"22","Ba71402ts","Bakery","Biscuits","Instore",0,0,0,0,698,698
"23","Ba77355ns","Bakery","Breads & Buns","Instore",0,0,0,1013,2705,3718
"24","ba4534es","Bakery","Cakes","Online",0,0,0,0,1863,1863
"25","Be1231ks","Beverages","Health Drinks","Instore",0,3072,0,0,0,3072
"26","Be88008ks","Beverages","Soft Drinks","Online",3949,0,0,0,0,3949
"27","Eg62873en","Eggs, Meat & Fish","Chicken","Instore",0,1923,0,0,0,1923
"28","Fo33978ur","Food Grains","Atta & Flour","Online",0,0,0,0,2387,2387
"29","Fr254ts","Fruits & Veggies","Fresh Fruits","Instore",1028,0,0,0,0,1028
"30","Fr62384es","Fruits & Veggies","Fresh Vegetables","Online",0,1381,0,0,0,1381
"31","Fr98447ts","Fruits & Veggies","Organic Fruits","Instore",0,0,0,1061,0,1061
"32","Oi61447as","Oil & Masala","Masalas","Instore",0,0,0,0,1113,1113
"33","Sn65986es","Snacks","Cookies","Online",0,1876,0,0,0,1876
"34","Ba25851ts","Bakery","Biscuits","Instore",0,1799,0,0,0,1799
"35","Be56904ks","Beverages","Health Drinks","Instore",0,1073,0,0,582,1655
"36","Be34329ks","Beverages","Soft Drinks","Instore",1583,0,0,0,0,1583
"37","Eg51776on","Eggs, Meat & Fish","Mutton","Online",0,0,0,0,1677,1677
"38","Fr44076es","Fruits & Veggies","Fresh Vegetables","Instore",0,2050,0,0,0,2050
"39","Oi61269ee","Oil & Masala","Edible Oil & Ghee","Instore",0,1483,0,0,0,1483
"40","Ba20215es","Bakery","Cakes","Instore",0,0,0,0,2259,2259
"41","Be87983ks","Beverages","Health Drinks","Instore",0,2483,0,0,1617,4100
"42","be558ks","Beverages","Soft Drinks","Instore",989,0,0,0,2390,3379
"43","Eg19842on","Eggs, Meat & Fish","Mutton","Online",0,3550,0,0,0,3550
"44","Fo21829ur","Food Grains","Atta & Flour","Online",771,0,0,0,0,771
"45","Oi79113ee","Oil & Masala","Edible Oil & Ghee","Online",0,0,0,0,2122,2122
"46","Oi94497as","Oil & Masala","Masalas","Online",0,806,0,0,530,1336
"47","Oi10096es","Oil & Masala","Spices","Online",0,775,0,0,0,775
"48","Sn99010es","Snacks","Chocolates","Online",0,0,0,1273,0,1273
"49","Sn3908es","Snacks","Cookies","Online",0,0,0,0,2424,2424
"50","Ba21822ts","Bakery","Biscuits","Online",1224,0,0,0,0,1224
"51","Be96303ks","Beverages","Soft Drinks","Instore",0,0,0,0,2045,2045
"52","Eg69254sh","Eggs, Meat & Fish","Fish","Online",0,0,0,4093,2282,6375
"53","Eg59527on","Eggs, Meat & Fish","Mutton","Online",1684,1048,0,0,0,2732
"54","Fo47139es","Food Grains","Dals & Pulses","Online",0,1797,0,0,0,1797
"55","Fo68046ce","Food Grains","Rice","Online",0,0,0,0,1424,1424
"56","Fr45855es","Fruits & Veggies","Fresh Vegetables","Instore",0,2985,0,0,0,2985
"57","Fr47733ts","Fruits & Veggies","Organic Fruits","Online",0,0,0,0,2455,2455
"58","Fr97829es","Fruits & Veggies","Organic Vegetables","Online",2230,0,0,0,0,2230
"59","Oi74193ee","Oil & Masala","Edible Oil & Ghee","Instore",0,1001,0,0,1059,2060
"60","Sn11473es","Snacks","Chocolates","Online",2216,0,0,0,0,2216
"61","Ba30362ts","Bakery","Biscuits","Online",0,0,0,0,997,997
"62","Be39616ks","Beverages","Health Drinks","Instore",0,1694,0,0,785,2479
"63","Be46731ks","Beverages","Soft Drinks","Instore",2364,1213,0,0,1669,5246
"64","Eg65034sh","Eggs, Meat & Fish","Fish","Online",0,0,0,0,1640,1640
"65","Fo50679es","Food Grains","Dals & Pulses","Online",2174,0,0,0,0,2174
"66","Fo12373ce","Food Grains","Rice","Online",0,0,0,0,1680,1680
"67","Fr82537ts","Fruits & Veggies","Fresh Fruits","Online",1953,0,0,0,0,1953
"68","Ba85298ts","Bakery","Biscuits","Online",0,2107,0,0,0,2107
"69","Ba94788ns","Bakery","Breads & Buns","Online",856,0,0,0,0,856
